fight_id,bots,our_winner,official_winner,split,robbery_score
fixture-001,Minotaur vs Bloodsport,Minotaur,Minotaur,,0.0
pl-e04-f2,Bloodsport vs Minotaur,Bloodsport,Minotaur,,0.0
